Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0029,ispH,CDS,-0.043254779024880737,-0.041490828037750546,-0.0672563126447849,-0.07498071868675837,-0.04333862763931313,-0.0748826316014635,-0.07859464419474556,-0.0778976473555825,-0.0542145084319014,-0.05015631440270209,-0.06124941653856988,-0.055301368937132084,-0.044191680933601526,-0.06595985224801452,-0.06317457095627148,-0.06368346204098523,-0.04601282426854984,-0.07726022096191157,-0.05948530385656452,-0.05526995944974795
b0030,rihC,CDS,-0.08371023745767112,-0.07594604967458246,-0.0908879484771673,-0.10423808873308546,-0.09698430733135062,-0.1289266220441319,-0.12669588089399011,-0.11934055415211609,-0.14496812810043666,-0.14200923956323758,-0.12801537065256952,-0.11626112566087796,-0.14444987634239256,-0.08996141109638697,-0.14119027347794377,-0.13724359649770684,-0.09503899241006313,-0.11617023055858822,-0.10098493221229608,-0.13460831738753826
b0031,dapB,CDS,-0.028663760810269,-0.023925012037433777,-0.08497269558940491,-0.10216229273352213,-0.07207477981731925,-0.09842004501730506,-0.0931882123734194,-0.08452258974575982,-0.09923685174403683,-0.09819980580327493,-0.07037212248755087,-0.06794870548898294,-0.07178962520296096,-0.09158477503405751,-0.08422167015434927,-0.08172770194524054,-0.07395306726094765,-0.08622754332148243,-0.06759367455795826,-0.08980883592761327
b0032,carA,CDS,0.06162854109868672,0.02467719586294408,-0.10101748715833121,-0.1194426545623245,0.5629139554805862,1.188834539573662,0.9301676948093283,0.9128584014173426,0.7260725739519978,0.7244192370372375,0.36632673958935585,0.3143495506876165,0.30408059401833576,-0.11068721962824742,0.09521338540944914,0.10691649712048279,0.6263049624735468,1.004093935446383,0.30913166334934955,0.7035708142916081
b0033,carB,CDS,0.0021945613712136204,-0.017184795088273825,-0.10992341417347533,-0.12574617039406835,0.4726688232209874,0.8251630967778396,0.7801894965897862,0.6915848340752732,0.5533986112321685,0.5354683803699511,0.24746590173381555,0.18955071917283595,0.22340962585654756,-0.11987597687202264,0.05856950712332404,0.0710428047048847,0.4419865206602661,0.6924313854172496,0.12684590095231932,0.4663242839164276
b0034,caiF,CDS,-0.08509070807717865,-0.0766766790305498,-0.11931968972329403,-0.14047624981556653,-0.04920595671430466,-0.025259247057223478,-0.02426095276855853,-0.017846166404018676,-0.10804683692655892,-0.10369186983878145,-0.06597474179499134,-0.06013035198420241,-0.1232113757332556,-0.13564336442209035,-0.12818471129086545,-0.12822112672897834,-0.05171515185049918,-0.026708464986435074,-0.07834692527457532,-0.10612427443856703
b0035,caiE,CDS,-0.09113764134638903,-0.08196435780497656,-0.12224765798967475,-0.14331135532239977,-0.10413868538798653,-0.14073502693475343,-0.1392569025145398,-0.1324177959934334,-0.1570942313010991,-0.15392338364853622,-0.1368190297584135,-0.12513192755195174,-0.1528772829770183,-0.13637397283243718,-0.1530868287589609,-0.15229620483162382,-0.1038835078044504,-0.12417616999139365,-0.12157821958183933,-0.169985676328133
b0036,caiD,CDS,-0.09090124207363454,-0.08248721088327388,-0.12261372463768067,-0.1419436794251219,-0.10459914454386761,-0.1417671796849728,-0.13813451882328745,-0.13193058656049167,-0.1578155379200581,-0.15347967371805643,-0.13748826546722479,-0.1246685490659668,-0.15279844980712956,-0.13753991786034825,-0.15397035879884394,-0.15206042844266124,-0.10346416204307404,-0.1240392422548291,-0.12152181352478615,-0.1700556153526718
b0037,caiC,CDS,-0.09077398257208041,-0.08113211523292244,-0.12186407889400187,-0.14241225936305685,-0.10079926249190284,-0.13498305553715462,-0.13304573437484518,-0.12782217612154928,-0.1551071807766208,-0.15009540933630106,-0.13037008888727583,-0.119716191497003,-0.14848303762330844,-0.13620046910804567,-0.14909115250659385,-0.14841813799477038,-0.10023335959514894,-0.12013304636068191,-0.11687677472645729,-0.16397799270342236
b0038,caiB,CDS,-0.0913487572744639,-0.08184719928344365,-0.1212867330386592,-0.14077354212913032,-0.10063832059053364,-0.13780195459306205,-0.13623098188484747,-0.12972186283864362,-0.1551544915033941,-0.15037512407647552,-0.13417259339422535,-0.12119668575972481,-0.14790305073055543,-0.1352679654547705,-0.1501421998420387,-0.14908628770236465,-0.10046240179506928,-0.12179928936596524,-0.11803817544118213,-0.16320552010654987
